"","peakIndex","peakPPM","peakValue","peakSNR","peakScale","Sample"
"223",20434,7.81469,675.550498400667,62.6104099735887,15.5,8
"224",20434,7.81494,451.301969587478,53.4901543107133,14.5,9
"225",20434,7.81494,348.451978281442,52.3942970886576,14,10
"226",20434,7.81494,440.181121081554,58.8107190137554,15,11
"227",20434,7.81469,184.76812013666,33.0798812425774,13.5,12
"228",20434,7.81469,240.942107226863,35.2092041407016,14,13
"229",20434,7.81445,333.382898876338,34.4598937824366,14.5,14
"230",20434,7.81469,393.239529571818,54.2244999632085,14,15
"231",20434,7.81445,448.908716956579,71.2872557001496,15,16
"232",20516,7.80613,13.1256935519804,2.68859166369269,3.5,1
"233",20516,7.8054,18.5483154898448,2.27547711339743,7.5,3
"234",20516,7.80662,11.9120396889679,1.60466450786786,3.5,7
"235",20516,7.80589,17.7600804020811,1.64601449894674,5,8
"236",20516,7.80589,13.8494644489814,2.0824475109527,5,10
"237",20516,7.80662,12.5271525017864,2.24279338210645,3.5,12
"238",20516,7.77141,19.3527425864381,3.34326835723582,15,2
"239",20516,7.77263,17.6731611853408,1.52899284400801,16,4
"240",20516,7.77214,15.7431431437498,1.54131158359458,13,14
"241",20758,7.73546,1388.36752802988,21.082265302918,11,1
"242",20758,7.73522,1501.68853564636,29.8106912811328,11,2
"243",20758,7.73571,1420.33130230443,39.8385014019701,12,3
"244",20758,7.73498,1375.53455748051,23.7402105252472,11,5
"245",20758,7.73595,1411.75596468057,35.1400680622422,11,6
"246",20758,7.73571,1429.35484742409,24.6749868574835,11,7
"247",20758,7.73522,1421.27478478694,28.1539766339815,11,8
"248",20758,7.73595,1407.29164120324,27.2454588527705,11,10
"249",20758,7.73522,1330.08693045675,31.4560026295159,11,11
"250",20758,7.73595,1423.51743826939,31.2081753981604,11,12
"251",20758,7.73595,1381.02571610456,25.2966612215268,11,15
"252",20758,7.73522,1309.004045171,23.7710461339592,11,16
"253",20799,7.72519,1277.18501156197,19.3939664469597,9,1
"254",20799,7.72544,1235.3404796846,34.6497421777423,9.5,3
"255",20799,7.72568,1273.16976140538,31.6905139343232,9.5,6
"256",20799,7.72544,1265.033462744,21.8383028705143,9,7
"257",20799,7.72593,1118.4461688297,19.4891360505969,9,9
"258",20799,7.72568,1292.57828929181,25.0245845024517,9.5,10
"259",20799,7.72568,1283.94563396634,28.1483032587488,9.5,12
"260",20799,7.72617,1223.05366467904,19.3493843281938,9.5,14
"261",20799,7.72568,1263.19676690582,23.138353106616,9.5,15
"262",20799,7.72495,1410.05301294369,27.9915935036442,9.5,2
"263",20799,7.72471,1296.41902586677,22.3747636405341,9.5,5
"264",20799,7.72495,1251.28617315368,24.7866788734129,9.5,8
"265",20799,7.72495,1141.71559109055,27.0010988102639,9.5,11
"266",20799,7.72495,1124.46947984335,20.4199643081268,9,16
"267",20827,7.71859,147.670720535427,2.24236972195588,6.5,1
"268",20827,7.71884,97.7652305006403,1.94078135066066,6,2
"269",20827,7.71884,129.885806375904,3.64313302889765,6.5,3
"270",20827,7.71859,121.103854543523,2.76533086726483,7.5,4
"271",20827,7.71835,109.04679149045,1.88202744380901,6,5
"272",20827,7.71859,158.434929793854,3.94360948753087,7.5,6
"273",20827,7.71859,179.012299165014,3.09029359447372,7,7
"274",20827,7.71859,160.54485565807,3.18022676774697,7,8
"275",20827,7.71859,373.028092424867,6.50008507031675,8,9
"276",20827,7.71859,147.638488118765,2.85831183484172,7,10
"277",20827,7.71859,154.591131517059,3.65601595516056,6.5,11
"278",20827,7.71859,185.93668675948,4.07634257041294,7,12
"279",20827,7.71859,279.389849214691,5.74421873360084,10,13
"280",20827,7.71859,158.940150276482,2.51452094188162,7.5,14
"281",20827,7.71859,135.956091246258,2.49034839913089,7,15
"282",20827,7.71859,132.112847748596,2.39912214962662,6.5,16
"283",20954,7.68803,17.0404681145164,3.48950984350464,16,1
"284",20954,7.68876,36.0762268342893,1.01189265559647,11,3
"285",20954,7.68754,42.379358361812,5.88023379123347,10,5
"286",20954,7.68925,20.0120446178701,3.19767773910134,15,8
"287",20954,7.68754,53.1619309135538,0.92635670196877,12.5,9
"288",20954,7.68778,55.3164750756636,1.07093846181428,12,10
"289",20954,7.68803,29.925360575474,5.20034263997974,13,14
"290",20954,7.68827,52.1201718359224,0.946483713165103,15.5,16
"291",20954,7.68729,67.1121501004976,1.33227333123233,13.5,2
"292",20954,7.68729,52.3383219070374,1.19511288600941,13,4
"293",20954,7.68631,62.1506732628709,1.54699462457423,12.5,6
"294",20954,7.68705,30.7327878114003,5.51935141530194,16,7
"295",20954,7.68729,38.1897742573285,0.903172275399033,17,11
"296",20954,7.68729,28.9440686953684,5.27565471312646,5.5,15
"297",21018,7.67238,25.9872149129384,5.32160511287356,10,1
"298",21018,7.67286,29.0576869117964,4.64305973536837,13.5,8
"299",21018,7.67213,28.6958883139347,5.31276373770237,13.5,10
"300",21018,7.67384,32.6308884032525,5.65562634627624,14.5,11
"301",21018,7.67286,25.0511423704329,4.56608843444752,8,15
"302",21018,7.67164,33.757197246406,7.65705505475014,13.5,2
"303",21018,7.67164,31.0237470562984,4.70389137702802,13,4
"304",21018,7.67164,25.9104188362585,3.59513041904076,10.5,5
"305",21018,7.6714,37.2073969430986,6.68213701398785,12.5,7
"306",21018,7.67017,16.236011459608,2.821447129556,7,14
"307",21018,7.67066,23.2179395075715,4.95405385272247,16,16
"308",21161,7.63692,42.470831667228,8.69708415101406,11,1
"309",21161,7.63667,65.5739669515551,1.30173816904756,12,2
"310",21161,7.63716,77.6206367861976,1.95723299852646,11,3
"311",21161,7.63692,103.739851693152,2.36883470913347,12,4
"312",21161,7.63667,137.280061415598,2.36930256764657,12,5
"313",21161,7.63741,46.0753605634315,1.04152667922636,12,6
"314",21161,7.63667,68.8136525256348,12.3583559288614,20,7
"315",21161,7.63716,95.9920710233104,1.90150318120426,12,8
"316",21161,7.63716,84.6701836868676,1.47539396646068,12,9
"317",21161,7.63716,58.2414043101024,1.12756570010018,11,10
"318",21161,7.63692,74.3639569381996,1.75867664843976,12,11
"319",21161,7.63667,14.0244901638018,2.75950324073274,11,12
"320",21161,7.63716,41.0884095148501,9.80279033599012,13.5,13
"321",21161,7.63692,54.3567682488805,0.859954088737518,12,14
"322",21161,7.63692,58.7230952761388,1.07564850513432,10,15
"323",21161,7.63692,59.4138339708039,1.07893401363085,12,16
"324",21211,7.62469,130.254331077989,26.6731974380773,13.5,1
"325",21211,7.62469,132.355046653006,30.021742373887,13.5,2
"326",21211,7.62518,217.992051404013,44.007167707147,13.5,3
"327",21211,7.62445,278.887071087886,42.2854946075438,13.5,4
"328",21211,7.6242,346.452163719091,48.0710373846219,13.5,5
"329",21211,7.62494,143.566529255213,27.4228627464142,12.5,6
"330",21211,7.62445,135.793619544368,24.3873972911484,14,7
"331",21211,7.62469,254.73191306283,40.7030157784249,13.5,8
"332",21211,7.62469,217.224098888604,36.792351449408,13.5,9
"333",21211,7.62518,156.170073153107,28.9133653046473,13.5,10
"334",21211,7.62518,204.861187518251,35.5067969691617,13.5,11
"335",21211,7.62494,90.548175834301,17.8165467506348,14,12
"336",21211,7.62494,108.656437601307,25.9230349638199,13.5,13
"337",21211,7.62445,144.603581999994,25.1287923990691,12.5,14
"338",21211,7.62469,198.983268152751,36.2688130515441,12.5,15
"339",21211,7.62469,100.547669991235,21.4540386643658,11,16
"340",21263,7.61198,85.2012244395297,17.4473206582345,13,1
"341",21263,7.61198,85.4735891416408,19.3877463525002,13,2
"342",21263,7.61222,154.005832930652,31.0899432984247,13,3
"343",21263,7.61198,182.359200367945,27.6497184100898,13,4
"344",21263,7.61173,207.626005657944,28.8085875200229,13,5
"345",21263,7.61198,99.043274365692,17.7873429479001,12,7
"346",21263,7.61222,171.689566571058,27.4338737267248,13,8
"347",21263,7.61198,149.829389911326,25.3773665043251,13,9
"348",21263,7.61222,110.522450235409,20.4621533018569,12,10
"349",21263,7.61222,139.21290745756,24.1285550497061,12,11
"350",21263,7.61198,58.5781906407493,11.5260308946296,12.5,12
"351",21263,7.61222,82.7462138271374,19.7414257407864,13,13
"352",21263,7.61198,109.283656852652,18.9909979246678,13,14
"353",21263,7.61222,127.120167465787,23.1702777409321,13,15
"354",21263,7.61198,73.8369426550443,15.7547223393438,12,16
"355",21331,7.59461,18.3818937401901,4.16951595097807,8,2
"356",21331,7.5951,32.5954086061996,6.58020145127915,15,3
"357",21331,7.5951,18.5305279486747,2.80964096539884,12.5,4
"358",21331,7.59461,10.5519952393775,1.44526511769195,3.5,5
"359",21331,7.59608,22.1850110259297,4.2375929511416,9,6
"360",21331,7.5951,25.2174028093211,4.29706506743477,9,11
"361",21331,7.5951,24.442502719911,4.80938448951993,9.5,12
"362",21331,7.59584,13.688420788428,3.26575597849002,20,13
